organization,service,description,scheme,created,asset_url
Adobe,Adobe Experience Cloud,"<p>The Experience Cloud is a suite of digital marketing solutions generally categorized into the Marketing Cloud, Analytics Cloud and Advertising Cloud. The Experience Cloud is a single platform that is supported by many technologies, solutions, products and services. Experience Cloud customers can manage all their different Experience Cloud solutions from a single landing page, on which they have access to relevant metrics, dashboards, and reports. Customers can grant access to other users to share their Experience Cloud data. Following solutions are within the scope of Adobe Experience Cloud:</p>
<ul>
<li>Adobe Campaign</li>
<li>Adobe Experience Manager</li>
<li>Adobe Primetime</li>
<li>Adobe Target</li>
<li>Adobe Analytics</li>
<li>Adobe Audience Manager</li>
<li>Adobe Advertising Cloud</li>
<li>Adobe Connect</li>
<li>Adobe Experience Platform</li>
<li>Magento Commerce</li>
<li>Marketo Engage</li>
</ul>",CAIQ 4.0.2 Self-assessment,2022-01-04 21:51:05.455518,https://content-production.star.watch/adobe/2020-07-21_adobe_logo-original.png
OutSystems,OutSystems Cloud,"<p>OutSystems is dedicated to answering the challenges of digital transformation, mobile and faster delivery cycles. During the years that OutSystems has been in business, we have solved problems and issues that other vendors didn’t even know existed. We are now confident that we have the only real solution for overcoming today's business and IT challenges, always considering security requirements. And we are not the only ones…Both Forrester and Gartner consider OutSystems a leader in their globally recognized assessments.</p>
<p>Our low-code application delivery platform makes it fast and easy to develop secure applications from small departmental to large complex mission critical. It is possible to develop the application once and deliver it seamlessly across all platforms and form factors. OutSystems applies security best practices and manages security to allow our customers to focus primarily on their business. But that’s only part of what it does. It also accelerates and eases the integration of applications with existing cloud and on-premises databases and systems of record. As a result, OutSystems enables the rapid, agile and continuous development, delivery and management of all the applications needed to securely digitalize your enterprise.</p>",CAIQ 4.0.2 Self-assessment,2021-09-13 18:38:33.928075,https://content-production.star.watch/outsystems/2021-03-04_outsystems-original.png
Microsoft,Microsoft Azure,"<p>Azure is a multi-tenant hyperscale cloud platform that is available or announced to customers in 60+regions worldwide. Most Azure services enable customers to specify the Region where their Customer Data will be located.  Microsoft may replicate Customer Data to other Regions within the same Geo for data resiliency but Microsoft will not replicate Customer Data outside the chosen Geo (e.g., United States). Microsoft makes Azure cloud environments available to customers: Azure public cloud service is available globally, Azure Government is available from 4 regions in the United States to US government agencies and their partners and Azure Germany provides services under a data trustee model, which ensures that Customer Data remains in Germany under the control of T-Systems International GmbH, a subsidiary of Deutsche Telecom, acting as the German data trustee.</p>",STAR Certification,2020-06-19 00:00:00,https://content-production.star.watch/microsoft/2018-01-24_Microsoft-original.png
Ribose,Ribose,"Ribose helps individuals and organizations worldwide cooperate effectively through its social collaboration platform. By focusing on the “whole of collaboration”, Ribose has taken online social collaboration to a new level. Whether planning social events for family and friends or running complex business projects, you will find that Ribose makes it easy, effective and genuinely fun.",STAR Certification,2019-10-11 00:00:00,https://content-production.star.watch/ribose/2018-01-24_Ribose-original.png
MongoDB,MongoDB Cloud Platform,"<p>The MongoDB Cloud Platform provides customers with an elastic, managed offering that includes automated provisioning and healing, comprehensive system monitoring, managed backup and restore, default security and other features that reduce operational complexity and increase application resiliency. The MongoDB Cloud Platform allows customers to remove themselves from the complexity of managing the database and related underlying infrastructure, so they can instead focus on the application and end-user experience. Additionally, MongoDB introduced additional enterprise functionality, such as advanced security, auditing, and compliance to support mission-critical enterprise workloads. The MongoDB Cloud Platform is available on three major cloud providers: Amazon Web Services (AWS), Google Cloud Platform (GCP), and Microsoft Azure in North America, Europe, and Asia Pacific, providing customers broad geographic coverage across more than 65 regions globally, enabling them to leverage the benefits of different cloud platforms for different use cases and helping them avoid infrastructure vendor lock-in. The organization differentiates between a service and feature. A service is what a customer subscribes to while a feature is a piece of functionality contained within a service. The current services included in the MongoDB Cloud Platform service offerings are: MongoDB Atlas, MongoDB Realm, MongoDB Charts, and MongoDB Atlas Data Lake.</p>",STAR Certification,2021-10-27 00:00:00,https://content-production.star.watch/mongodb/2022-01-12_mongo-original.png
"VMware, Inc.",VMware Edge Network Intelligence,"<p>VMware Edge Network Intelligence™ is a vendor agnostic AIOps solution focused on the enterprise Edge that ensures end-user and Internet of Things (IoT) client performance, security, and self-healing through wireless and wired LAN, SD-WAN, and Secure Access Service Edge (SASE). Integration of VMware Edge Network Intelligence with VMware helps extend visibility from SD-WAN to branch, campus, and home. This integration helps VMware Edge Network Intelligence get data from different vantage points for each application flow, which includes wireless controller, LAN switch, network services, VMware SD-WAN Edge, VMware SD-WAN Hub, VMware SD-WAN Gateway, and application performance metrics. The solution provides deep visibility into the client experience for every application with actionable insights for proactive remediation. Existing SD-WAN customers can take advantage of VMware Edge Network Intelligence with software upgrade and license addition.</p>
",CAIQ 3.1 Self-assessment,2021-11-15 16:29:46.951148,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Scratchpad,Scratchpad,"",CAIQ 3.1 Self-assessment,2020-08-13 00:00:00,https://content-production.star.watch/scratchpad/2021-03-04_scratchpad-original.png
Altais,eNable,"<p>Altais eNable™ is the next-generation solution for independent physicians and groups that combines an intelligent platform with interoperable value-add capabilities focused on virtual care and communications, patient digital front door, smart dashboard, and provider automation. eNable seamlessly integrates disparate technologies, unifying all stakeholders along the health care continuum to enhance the patient experience, improve outcomes, reduce cost, and drive physician gratification.</p>
",CAIQ 3.1 Self-assessment,2021-05-28 17:48:33.904183,https://content-production.star.watch/altais/2021-07-26_Altais_1c_Black-original.png
G42 Cloud Technology LLC,G42 Cloud Technology LLC,"<p>Provisioning, operation and maintenance of Artificial Intelligence and Big data enabled Cloud and Data Center Services including Infrastructure as a service (IaaS), Platform as a service (PaaS), Software as a service (SaaS) and Security Operation Center (SOC). </p>",CAIQ 4.0.2 Self-assessment,2022-02-17 18:30:53.705625,https://content-production.star.watch/g42-cloud-technology-llc/2021-04-26_g42-original.png
Netskope,Netskope Cloud Security Services Platform,"<p>The industry's only SaaS, IaaS, and web security platform built from the start in one cloud. Unlike other tools, Netskope eliminates policy conflict through standardized categories across SaaS, IaaS and web. Built in the cloud, Netskope scales automatically to meet your needs.</p>",STAR Certification,2021-10-14 00:00:00,https://content-production.star.watch/netskope/2018-11-20_netskope-original.png
"VMware, Inc.",VMware Learning Platform (VLP),"<p>VMware Learning Platform (VLP), is a multi-tenant VMware Cloud service that lets you create, manage, and deliver richly-featured IT labs for self-paced training on demand, instructor-led training, and live lab events. VLP technology is based on the same tools and workflows used to create and administer VMware Hands-on-Labs.</p>
",CAIQ 3.1 Self-assessment,2021-07-15 15:45:46.160016,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Hyland,Hyland Cloud,"<p>Hyland is a leading content services provider that enables thousands of organizations to deliver better experiences to the people they serve. With more than 4,000 employees around the world, Hyland is widely known as both a great company to work for and a great company to do business with. Find us at Hyland.com.</p>
<p>The Hyland Cloud is a secure, privately managed cloud platform that is custom designed to host content services for Hyland. It is the hosting architecture of choice for our enterprise information platforms — OnBase, Perceptive Content — as well as for Brainware, our intelligent capture platform. The Hyland Cloud is also home to the Acuo Vendor Neutral Archive (VNA) and the NilRead enterprise diagnostic viewer that help organizations capture, manage, view and share clinical images and information.</p>
<p>Hyland’s native cloud applications, also deployed in the Hyland Cloud, include Sharebase, a content collaboration platform, and Guardian, a human resources (HR) compliance solution. Whether multi-instance or multi-tenant, the Hyland Cloud offers a custom-tailored approach to hosting content services. A pioneer in the cloud content services management space, Hyland began offering hosted deployments of OnBase in 2004. Hyland continues to drive innovative cloud-based solutions.</p>",CAIQ 3.1 Self-assessment,2021-06-10 00:00:00,https://content-production.star.watch/hyland/2021-03-04_hyland-original.png
Adobe,Adobe Document Cloud (Adobe Sign + PDF Services),"<p>Adobe Document Cloud is a complete portfolio of secure digital document solutions that speeds business and drives better customer experiences by making manual, paper-based processes 100% digital. Document Cloud includes PDF Services and Adobe Sign along with web and mobile apps that can be used standalone or integrated into your organizations’ existing document processes, business applications, or enterprise systems.</p>",CAIQ 4.0.2 Self-assessment,2022-01-04 21:50:09.387357,https://content-production.star.watch/adobe/2020-07-21_adobe_logo-original.png
